연도,일시,측정소,PM2.5
4,01-03 00:00,공주,0.074913815
4,01-03 01:00,공주,0.074913815
4,01-03 02:00,공주,0.074913815
4,01-03 03:00,공주,0.074913815
4,01-03 04:00,공주,0.074913815
4,01-03 05:00,공주,0.074913815
4,01-03 06:00,공주,0.074913815
4,01-03 07:00,공주,0.07539444
4,01-03 08:00,공주,0.07539444
4,01-03 09:00,공주,0.07539444
4,01-03 10:00,공주,0.07584763
4,01-03 11:00,공주,0.07584763
4,01-03 12:00,공주,0.07584763
4,01-03 13:00,공주,0.07584763
4,01-03 14:00,공주,0.07584763
4,01-03 15:00,공주,0.07584763
4,01-03 16:00,공주,0.07584763
4,01-03 17:00,공주,0.076389
4,01-03 18:00,공주,0.07703787
4,01-03 19:00,공주,0.07703787
4,01-03 20:00,공주,0.07703787
4,01-03 21:00,공주,0.07703787
4,01-03 22:00,공주,0.07750398
4,01-03 23:00,공주,0.07750398
4,01-04 00:00,공주,0.07750398
4,01-04 01:00,공주,0.080016
4,01-04 02:00,공주,0.080016
4,01-04 03:00,공주,0.080016
4,01-04 04:00,공주,0.080016
4,01-04 05:00,공주,0.080016
4,01-04 06:00,공주,0.080016
4,01-04 07:00,공주,0.080016
4,01-04 08:00,공주,0.080016
4,01-04 09:00,공주,0.080016
4,01-04 10:00,공주,0.080016
4,01-04 11:00,공주,0.080016
4,01-04 12:00,공주,0.080016
4,01-04 13:00,공주,0.080016
4,01-04 14:00,공주,0.080016
4,01-04 15:00,공주,0.080016
4,01-04 16:00,공주,0.07946154
4,01-04 17:00,공주,0.078996256
4,01-04 18:00,공주,0.078996256
4,01-04 19:00,공주,0.078996256
4,01-04 20:00,공주,0.078996256
4,01-04 21:00,공주,0.078996256
4,01-04 22:00,공주,0.07934591
4,01-04 23:00,공주,0.07934591
4,01-05 00:00,공주,0.07934591
4,01-05 01:00,공주,0.07934591
4,01-05 02:00,공주,0.07852109
4,01-05 03:00,공주,0.07778786
4,01-05 04:00,공주,0.07778786
4,01-05 05:00,공주,0.07778786
4,01-05 06:00,공주,0.07778786
4,01-05 07:00,공주,0.07778786
4,01-05 08:00,공주,0.07878937
4,01-05 09:00,공주,0.07878937
4,01-05 10:00,공주,0.07878937
4,01-05 11:00,공주,0.07878937
4,01-05 12:00,공주,0.07878937
4,01-05 13:00,공주,0.07878937
4,01-05 14:00,공주,0.07878937
4,01-05 15:00,공주,0.07878937
4,01-05 16:00,공주,0.07878937
4,01-05 17:00,공주,0.07878937
4,01-05 18:00,공주,0.07950414
4,01-05 19:00,공주,0.07950414
4,01-05 20:00,공주,0.07950414
4,01-05 21:00,공주,0.07950414
4,01-05 22:00,공주,0.07950414
4,01-05 23:00,공주,0.07950414
4,01-08 00:00,공주,0.077971175
4,01-08 01:00,공주,0.077971175
4,01-08 02:00,공주,0.077971175
4,01-08 03:00,공주,0.077971175
4,01-08 04:00,공주,0.077971175
4,01-08 05:00,공주,0.077971175
4,01-08 06:00,공주,0.077971175
4,01-08 07:00,공주,0.077971175
4,01-08 08:00,공주,0.07910242
4,01-08 09:00,공주,0.07910242
4,01-08 10:00,공주,0.07910242
4,01-08 11:00,공주,0.07910242
4,01-08 12:00,공주,0.07910242
4,01-08 13:00,공주,0.07910242
4,01-08 14:00,공주,0.079398535
4,01-08 15:00,공주,0.079398535
4,01-08 16:00,공주,0.079398535
4,01-08 17:00,공주,0.079398535
4,01-08 18:00,공주,0.079398535
4,01-08 19:00,공주,0.079398535
4,01-08 20:00,공주,0.079398535
4,01-08 21:00,공주,0.079398535
4,01-08 22:00,공주,0.079398535
4,01-08 23:00,공주,0.079398535
4,01-09 00:00,공주,0.079398535
4,01-09 01:00,공주,0.079398535
4,01-09 02:00,공주,0.079398535
4,01-09 03:00,공주,0.079398535
4,01-09 04:00,공주,0.08024486
4,01-09 05:00,공주,0.08024486
4,01-09 06:00,공주,0.08024486
4,01-09 07:00,공주,0.08024486
4,01-09 08:00,공주,0.08024486
4,01-09 09:00,공주,0.08024486
4,01-09 10:00,공주,0.08024486
4,01-09 11:00,공주,0.08024486
4,01-09 12:00,공주,0.08024486
4,01-09 13:00,공주,0.08024486
4,01-09 14:00,공주,0.08024486
4,01-09 15:00,공주,0.08024486
4,01-09 16:00,공주,0.08024486
4,01-09 17:00,공주,0.08024486
4,01-09 18:00,공주,0.08024486
4,01-09 19:00,공주,0.08024486
4,01-09 20:00,공주,0.08024486
4,01-09 21:00,공주,0.08024486
4,01-09 22:00,공주,0.080496185
4,01-09 23:00,공주,0.080496185
4,01-10 00:00,공주,0.080496185
4,01-10 01:00,공주,0.080729775
4,01-10 02:00,공주,0.080729775
4,01-10 03:00,공주,0.080729775
4,01-10 04:00,공주,0.080729775
4,01-10 05:00,공주,0.081941314
4,01-10 06:00,공주,0.081941314
4,01-10 07:00,공주,0.081941314
4,01-10 08:00,공주,0.081941314
4,01-10 09:00,공주,0.081941314
4,01-10 10:00,공주,0.081941314
4,01-10 11:00,공주,0.081941314
4,01-10 12:00,공주,0.081941314
4,01-10 13:00,공주,0.081941314
4,01-10 14:00,공주,0.081941314
4,01-10 15:00,공주,0.081941314
4,01-10 16:00,공주,0.081941314
4,01-10 17:00,공주,0.081941314
4,01-10 18:00,공주,0.081941314
4,01-10 19:00,공주,0.081941314
4,01-10 20:00,공주,0.081941314
4,01-10 21:00,공주,0.081941314
4,01-10 22:00,공주,0.081941314
4,01-10 23:00,공주,0.081941314
4,01-13 00:00,공주,0.08647867
4,01-13 01:00,공주,0.08647867
4,01-13 02:00,공주,0.08647867
4,01-13 03:00,공주,0.08647867
4,01-13 04:00,공주,0.08647867
4,01-13 05:00,공주,0.08647867
4,01-13 06:00,공주,0.08647867
4,01-13 07:00,공주,0.08647867
4,01-13 08:00,공주,0.08647867
4,01-13 09:00,공주,0.08647867
4,01-13 10:00,공주,0.08647867
4,01-13 11:00,공주,0.08647867
4,01-13 12:00,공주,0.08647867
4,01-13 13:00,공주,0.08647867
4,01-13 14:00,공주,0.08647867
4,01-13 15:00,공주,0.08647867
4,01-13 16:00,공주,0.08647867
4,01-13 17:00,공주,0.08647867
4,01-13 18:00,공주,0.08647867
4,01-13 19:00,공주,0.08647867
4,01-13 20:00,공주,0.08647867
4,01-13 21:00,공주,0.08647867
4,01-13 22:00,공주,0.08647867
4,01-13 23:00,공주,0.08647867
4,01-14 00:00,공주,0.08647867
4,01-14 01:00,공주,0.08647867
4,01-14 02:00,공주,0.08647867
4,01-14 03:00,공주,0.08647867
4,01-14 04:00,공주,0.08748018
4,01-14 05:00,공주,0.08748018
4,01-14 06:00,공주,0.08748018
4,01-14 07:00,공주,0.08748018
4,01-14 08:00,공주,0.08748018
4,01-14 09:00,공주,0.08748018
4,01-14 10:00,공주,0.08748018
4,01-14 11:00,공주,0.08748018
4,01-14 12:00,공주,0.08748018
4,01-14 13:00,공주,0.08748018
4,01-14 14:00,공주,0.08748018
4,01-14 15:00,공주,0.08748018
4,01-14 16:00,공주,0.08748018
4,01-14 17:00,공주,0.08748018
4,01-14 18:00,공주,0.08748018
4,01-14 19:00,공주,0.08748018
4,01-14 20:00,공주,0.08748018
4,01-14 21:00,공주,0.08748018
4,01-14 22:00,공주,0.08748018
4,01-14 23:00,공주,0.08748018
4,01-15 00:00,공주,0.08748018
4,01-15 01:00,공주,0.08748018
4,01-15 02:00,공주,0.08748018
4,01-15 03:00,공주,0.08748018
4,01-15 04:00,공주,0.0879608
4,01-15 05:00,공주,0.0879608
4,01-15 06:00,공주,0.0879608
4,01-15 07:00,공주,0.0879608
4,01-15 08:00,공주,0.0879608
4,01-15 09:00,공주,0.0879608
4,01-15 10:00,공주,0.0879608
4,01-15 11:00,공주,0.0879608
4,01-15 12:00,공주,0.0879608
4,01-15 13:00,공주,0.0879608
4,01-15 14:00,공주,0.0879608
4,01-15 15:00,공주,0.0879608
4,01-15 16:00,공주,0.0879608
4,01-15 17:00,공주,0.0879608
4,01-15 18:00,공주,0.0879608
4,01-15 19:00,공주,0.0879608
4,01-15 20:00,공주,0.0879608
4,01-15 21:00,공주,0.0879608
4,01-15 22:00,공주,0.0879608
4,01-15 23:00,공주,0.0879608
4,01-18 00:00,공주,0.083964474
4,01-18 01:00,공주,0.083964474
4,01-18 02:00,공주,0.083964474
4,01-18 03:00,공주,0.085470065
4,01-18 04:00,공주,0.085470065
4,01-18 05:00,공주,0.088588975
4,01-18 06:00,공주,0.088588975
4,01-18 07:00,공주,0.088588975
4,01-18 08:00,공주,0.088588975
4,01-18 09:00,공주,0.08930375
4,01-18 10:00,공주,0.08930375
4,01-18 11:00,공주,0.08930375
4,01-18 12:00,공주,0.08930375
4,01-18 13:00,공주,0.08930375
4,01-18 14:00,공주,0.08930375
4,01-18 15:00,공주,0.08930375
4,01-18 16:00,공주,0.08930375
4,01-18 17:00,공주,0.08930375
4,01-18 18:00,공주,0.08930375
4,01-18 19:00,공주,0.08930375
4,01-18 20:00,공주,0.08930375
4,01-18 21:00,공주,0.09062708
4,01-18 22:00,공주,0.09108475
4,01-18 23:00,공주,0.09108475
4,01-19 00:00,공주,0.09190673
4,01-19 01:00,공주,0.09190673
4,01-19 02:00,공주,0.09190673
4,01-19 03:00,공주,0.09190673
4,01-19 04:00,공주,0.09190673
4,01-19 05:00,공주,0.09190673
4,01-19 06:00,공주,0.09190673
4,01-19 07:00,공주,0.09190673
4,01-19 08:00,공주,0.09190673
4,01-19 09:00,공주,0.09416545
4,01-19 10:00,공주,0.09416545
4,01-19 11:00,공주,0.09416545
4,01-19 12:00,공주,0.09416545
4,01-19 13:00,공주,0.09416545
4,01-19 14:00,공주,0.09416545
4,01-19 15:00,공주,0.09416545
4,01-19 16:00,공주,0.09416545
4,01-19 17:00,공주,0.09416545
4,01-19 18:00,공주,0.09491215
4,01-19 19:00,공주,0.09491215
4,01-19 20:00,공주,0.09491215
4,01-19 21:00,공주,0.09491215
4,01-19 22:00,공주,0.09491215
4,01-19 23:00,공주,0.09491215
4,01-20 00:00,공주,0.09491215
4,01-20 01:00,공주,0.09491215
4,01-20 02:00,공주,0.09491215
4,01-20 03:00,공주,0.09691975
4,01-20 04:00,공주,0.09691975
4,01-20 05:00,공주,0.09691975
4,01-20 06:00,공주,0.0990782
4,01-20 07:00,공주,0.0990782
4,01-20 08:00,공주,0.0990782
4,01-20 09:00,공주,0.0990782
4,01-20 10:00,공주,0.0990782
4,01-20 11:00,공주,0.0990782
4,01-20 12:00,공주,0.0990782
4,01-20 13:00,공주,0.09929959
4,01-20 14:00,공주,0.09929959
4,01-20 15:00,공주,0.09929959
4,01-20 16:00,공주,0.1001459
4,01-20 17:00,공주,0.1001459
4,01-20 18:00,공주,0.1001459
4,01-20 19:00,공주,0.1001459
4,01-20 20:00,공주,0.1001459
4,01-20 21:00,공주,0.1001459
4,01-20 22:00,공주,0.1001459
4,01-20 23:00,공주,0.1001459
4,01-23 00:00,공주,0.07642624
4,01-23 01:00,공주,0.07642624
4,01-23 02:00,공주,0.076068796
4,01-23 03:00,공주,0.076068796
4,01-23 04:00,공주,0.075480156
4,01-23 05:00,공주,0.075480156
4,01-23 06:00,공주,0.07477325
4,01-23 07:00,공주,0.07477325
4,01-23 08:00,공주,0.075024575
4,01-23 09:00,공주,0.07525818
4,01-23 10:00,공주,0.07525818
4,01-23 11:00,공주,0.07591532
4,01-23 12:00,공주,0.07591532
4,01-23 13:00,공주,0.07591532
4,01-23 14:00,공주,0.07591532
4,01-23 15:00,공주,0.07591532
4,01-23 16:00,공주,0.07591532
4,01-23 17:00,공주,0.07591532
4,01-23 18:00,공주,0.07591532
4,01-23 19:00,공주,0.07591532
4,01-23 20:00,공주,0.07591532
4,01-23 21:00,공주,0.07591532
4,01-23 22:00,공주,0.078427345
4,01-23 23:00,공주,0.078427345
4,01-24 00:00,공주,0.078427345
4,01-24 01:00,공주,0.078427345
4,01-24 02:00,공주,0.078427345
